Period - Year,Period - Month,Date_key,Apple Search Ads,Facebook,Promos,Referral,Prodege,Impact Radius,Tiktok,Snapchat,Influencer,Google,,DSA (Daily_Spend_Attribution),Finance Total,Netsuite total
2019, Jan , 2019 Jan ,  -   ,"  41,190.36 ",  -   ,"  1,020.00 ",,,,"  11,617.92 ",,"  45,596.25 ",,,,
, Feb , 2019 Feb ,  -   ,"  103,104.37 ",  -   ,  370.00 ,  -   ,,,"  4,851.23 ",,"  38,839.13 ",,,,
, Mar , 2019 Mar ,  -   ,"  154,710.51 ",  -   ,  450.00 ,,,,"  6,273.73 ","  4,960.00 ","  33,642.82 ",,,,
, Apr , 2019 Apr ,  -   ,"  132,844.22 ",  -   ,  190.00 ,,,,"  26,506.30 ","  2,600.00 ","  21,215.40 ",,,,
, May , 2019 May ,  -   ,"  140,722.86 ",  -   ,  460.00 ,,,,"  25,892.76 ","  16,040.00 ","  21,448.35 ",,,,
, Jun , 2019 Jun ,"  2,556.96 ","  118,500.27 ",  -   ,"  2,090.00 ",,,665.72,"  28,408.52 ","  17,187.00 ","  22,449.34 ",,,,
, Jul , 2019 Jul ,"  10,588.82 ","  96,408.55 ",  -   ,  480.00 ,,,2206.41,"  54,293.28 ","  9,500.00 ","  25,906.84 ",,,,
, Aug , 2019 Aug ,"  7,720.80 ","  104,331.09 ",  -   ,  397.00 ,,,2436.72,"  24,738.07 ","  30,200.00 ","  31,540.88 ",,,,
, Sep , 2019 Sep ,"  9,596.66 ","  136,651.07 ",  -   ,  530.00 ,,,3142.19,"  21,966.41 ","  26,285.00 ","  42,709.61 ",,,,
, Oct , 2019 Oct ,"  24,008.05 ","  279,934.93 ",  -   ,"  6,682.02 ",,,1874.33,"  81,508.86 ","  44,483.00 ","  150,229.84 ",,,,
, Nov , 2019 Nov ,"  20,121.71 ","  369,343.72 ",  -   ,"  9,096.00 ",,,1962.44,"  64,799.81 ","  26,830.00 ","  103,972.98 ",,,,
, Dec , 2019 Dec ,"  22,406.99 ","  371,938.13 ",  -   ,"  11,744.00 ",,,2011.54,"  52,152.02 ","  142,689.00 ","  77,579.13 ",,,,
,,,"  96,999.99 ","  2,049,680.08 ",  -   ,,  -   ,  -   ,"  14,299.35 ","  403,008.91 ","  320,774.00 ","  615,130.57 ",,,,
2020, Jan , 2020 Jan ,"  39,388.65 ","  392,920.92 ",  -   ,"  12,780.00 ",,  -   ,1212.86,"  78,317.10 ","  69,888.00 ","  61,270.03 ",,,,
, Feb , 2020 Feb ,"  37,893.30 ","  322,125.52 ",  -   ,"  21,521.00 ",  550.00 ,  -   ,0,"  50,044.95 ","  94,477.00 ","  44,872.70 ",,,,
, Mar , 2020 Mar ,"  38,299.62 ","  311,984.60 ",  -   ,"  23,834.00 ",  830.00 ,  -   ,0,"  49,304.23 ","  128,251.00 ","  55,525.71 ",,,,
, Apr , 2020 Apr ,"  31,042.51 ","  444,150.25 ",  -   ,"  15,971.00 ",  790.00 ,  -   ,0,"  108,800.82 ","  118,569.00 ","  30,402.90 ",,,,
, May , 2020 May ,  -   ,"  437,744.12 ",  -   ,"  12,117.00 ","  2,460.00 ",  -   ,261.56,"  78,731.27 ","  162,418.00 ","  30,243.24 ",,,,
, Jun , 2020 Jun ,  -   ,"  429,041.91 ",  -   ,"  10,864.00 ","  8,640.00 ",  -   ,2482.52,"  68,703.31 ","  46,115.00 ","  52,749.57 ",,,,
, Jul , 2020 Jul ,  -   ,"  647,678.94 ",  -   ,"  11,913.00 ","  8,040.00 ",  -   ,91.62,"  76,027.56 ","  130,550.00 ","  98,404.18 ",,,,
, Aug , 2020 Aug ,  -   ,"  690,911.07 ",  -   ,"  11,935.00 ","  7,080.00 ",  -   ,0,"  77,427.00 ","  77,466.00 ","  115,085.53 ",,,,
, Sep , 2020 Sep ,  -   ,"  682,156.96 ",  -   ,"  24,846.00 ","  6,600.00 ",  -   ,23.01,"  68,409.19 ","  116,600.00 ","  143,601.73 ",,,,
, Oct , 2020 Oct ,  -   ,"  1,161,157.47 ",  -   ,"  21,418.00 ","  3,240.00 ",  -   ,3715.8,"  102,594.08 ","  231,931.00 ","  244,598.57 ",,,,
, Nov , 2020 Nov ,  -   ,"  1,201,646.52 ",  -   ,"  12,883.00 ","  19,160.00 ",  -   ,2068.54,"  108,921.26 ","  259,661.00 ","  282,778.21 ",,,,
, Dec , 2020 Dec ,  -   ,"  1,427,293.29 ",  -   ,"  15,615.00 ","  35,000.00 ",  -   ,1552.61,"  94,952.53 ","  580,852.00 ","  520,295.80 ",,,,
,,,,,,,,,"  11,408.52 ","  962,233.30 ",,,,,,
2021, Jan , 2021 Jan ,  -   ,"  1,975,818.38 ",  -   ,"  23,398.00 ","  39,800.00 ",  -   ,"7,416.14","  93,057.49 ","  293,264.00 ","  918,836.34 ",,,,
, Feb , 2021 Feb ,  -   ,"  1,604,018.75 ",  -   ,"  14,477.00 ","  26,000.00 ",  -   ,"16,680.99","  132,042.62 ","  726,702.00 ","  903,112.87 ",,,,
, Mar , 2021 Mar ,  -   ,"  1,363,540.01 ",  -   ,"  13,964.00 ","  33,000.00 ",  -   ,"62,223.17","  52,366.58 ","  456,200.00 ","  929,637.91 ",,,,
, Apr , 2021 Apr ,  -   ,"  2,276,335.85 ",  -   ,"  21,840.00 ","  22,800.00 ","  1,105.00 ","175,084.38","  73,081.78 ","  736,402.00 ","  1,533,342.04 ",,,,
, May , 2021 May ,  -   ,"  2,368,914.58 ",  -   ,"  15,454.00 ","  15,200.00 ","  2,490.00 ","166,319.55","  148,439.83 ","  512,200.00 ","  2,088,302.12 ",,,,
, Jun , 2021 Jun ,  -   ,"  2,289,222.99 ",  -   ,"  16,326.00 ","  10,000.00 ","  15,984.00 ","130,942.56","  207,315.46 ","  768,800.00 ","  1,709,104.78 ",,,,
, Jul , 2021 Jul ,  -   ,"  3,719,496.60 ",  -   ,"  32,012.00 ","  27,000.00 ","  5,399.00 ","196,591.07","  440,859.15 ","  655,083.00 ","  2,374,485.16 ",,,,
, Aug , 2021 Aug ,  -   ,"  3,085,291.70 ",  -   ,"  113,144.00 ","  22,250.00 ","  11,267.00 ","286,425.25","  526,038.41 ","  1,039,207.00 ","  1,506,084.07 ",,,,
, Sep , 2021 Sep ,  -   ,"  2,072,275.22 ",  -   ,"  68,765.00 ","  22,750.00 ","  19,376.00 ","347,869.93","  360,904.52 ","  1,196,575.00 ","  1,350,167.76 ",,,,
, Oct , 2021 Oct ,"  272,238.72 ","  3,252,763.22 ",  -   ,"  11,477.00 ","  27,500.00 ","  24,326.00 ","654,247.35","  266,943.01 ","  1,598,683.00 ","  1,335,040.86 ",,,,
, Nov , 2021 Nov ,"  206,475.52 ","  2,057,127.58 ",  -   ,"  8,939.00 ","  14,000.00 ","  23,958.00 ","134,665.96","  159,296.22 ","  1,250,878.00 ","  1,393,652.73 ",,,,
, Dec , 2021 Dec ,"  258,136.91 ","  1,044,059.38 ",  -   ,"  10,174.00 ","  15,000.00 ","  46,622.00 ","471,848.23","  142,715.90 ","  1,980,019.00 ","  1,464,652.31 ",,,,
,,,,,,,,,"  2,650,314.58 ","  2,603,060.97 ",,,,,,
2022, Jan , 2022 Jan ,"  285,115.23 ","  1,664,370.16 ",  -   ,"  15,124.00 ","  26,000.00 ","  37,479.00 ",381962.06,"  151,164.06 ","  1,384,613.00 ","  2,139,172.76 ",,,,
, Feb , 2022 Feb ,"  179,421.80 ","  552,307.24 ",  -   ,"  13,273.00 ","  11,500.00 ","  109,642.00 ",37019.89,"  29,386.46 ","  1,070,550.00 ","  791,518.82 ",,,,
, Mar , 2022 Mar ,"  198,160.31 ","  38,346.63 ",  -   ,"  18,122.00 ","  21,000.00 ","  133,212.00 ",0,  -   ,"  532,916.00 ","  266,041.12 ",,,,
, Apr , 2022 Apr ,"  111,714.90 ","  201,489.69 ",  -   ,"  119,821.00 ","  38,900.00 ","  291,162.00 ",17839.8,  -   ,"  624,104.00 ","  380,880.36 ",,,,
, May , 2022 May ,"  89,722.87 ","  307,700.99 ",  -   ,"  162,800.00 ","  101,700.00 ","  611,825.00 ",71345.82,  -   ,"  462,738.00 ","  440,519.36 ",,,,
, Jun , 2022 Jun ,"  83,163.40 ","  92,839.11 ","  18,400.00 ","  190,550.00 ","  58,500.00 ","  394,555.00 ",21386.27,  475.43 ,"  564,950.00 ","  383,455.20 ",,,,
, Jul , 2022 Jul ,"  84,836.69 ","  146,675.16 ","  12,900.00 ","  169,450.00 ",  -   ,"  150,240.00 ",0,  -   ,"  412,500.00 ","  80,590.25 ",,,,
, Aug , 2022 Aug ,"  53,230.04 ",,"  15,850.00 ","  178,150.00 ",  -   ,"  153,780.00 ",0,  -   ,,"  86,487.54 ",,,,
, Sep , 2022 Sep ,"  63,749.20 ",,"  13,950.00 ","  183,400.00 ",  -   ,"  128,540.00 ",0,  -   ,"  2,235.00 ","  23,691.24 ",,,,
, Oct , 2022 Oct ,"  72,215.47 ",,"  14,855.00 ","  156,350.00 ",  250.00 ,"  164,920.00 ",0,  -   ,"  3,054.00 ","  14,201.59 ",,,,
, Nov , 2022 Nov ,"  69,672.72 ","  6,155.68 ","  9,905.00 ","  138,450.00 ","  1,125.00 ","  131,792.00 ",0,  -   ,"  2,759.00 ","  39,083.81 ",,,,
, Dec , 2022 Dec ,"  72,833.56 ",,"  11,054.00 ","  137,100.00 ","  1,250.00 ","  120,507.00 ",0,  -   ,"  3,213.00 ","  28,425.75 ",,,,
2022 Total,,,,,,,,,"  529,553.84 ","  181,025.95 ",,,,,,
Grand Total,,,,,,,"  627,915.00 ",,"  3,205,576.29 ","  4,149,329.13 ",,,,,,